LL,PL,PI,fines_pct,sand_pct,log_energy,Gs,MDD_Mgm3,OMC_frac
38.3,19.0,19.2,92.0,8.0,6.384350873009287,2.68,1.58,0.249
64.0,31.0,33.0,72.0,24.0,6.384350873009287,2.5,1.77,0.1632
72.0,27.0,45.0,95.0,5.0,6.384350873009287,2.68,1.51,0.25
37.8,19.1,18.7,100.0,0.0,6.384350873009287,2.63,1.59,0.2362999999999999
35.16,28.31,6.85,100.0,0.0,6.384350873009287,2.68,1.80796,0.1685
43.0,28.0,15.0,73.1,26.9,6.384350873009287,2.7,1.94,0.12
94.5,35.0,59.5,99.0,1.0,6.384350873009287,2.73,1.57,0.22
72.1,27.62,44.48,100.0,,7.898522486532822,2.74,1.5321100917431192,0.2362999999999999
72.1,27.62,44.48,100.0,,7.20533817611118,2.74,1.475025484199796,0.276
72.1,27.62,44.48,100.0,,5.872681011118015,2.74,1.3200815494393474,0.312
72.1,27.62,44.48,100.0,,6.384350873009287,2.74,1.3832823649337411,0.301
151.6,25.39999999999999,126.2,50.0,,7.898522486532822,2.65,1.6819571865443423,0.2098
151.6,25.39999999999999,126.2,50.0,,7.20533817611118,2.65,1.6513761467889907,0.216
151.6,25.39999999999999,126.2,50.0,,5.872681011118015,2.65,1.6106014271151885,0.24
151.6,25.39999999999999,126.2,50.0,,6.384350873009287,2.65,1.6309887869520896,0.2319999999999999
36.2,13.830000000000002,22.37,50.0,,7.898522486532822,2.63,1.9367991845056065,0.118
36.2,13.830000000000002,22.37,50.0,,7.20533817611118,2.63,1.926605504587156,0.126
36.2,13.830000000000002,22.37,50.0,,6.384350873009287,2.63,1.8144750254842,0.166
43.8,16.929999999999996,26.87,60.0,,7.898522486532822,2.65,1.9041794087665649,0.132
43.8,16.929999999999996,26.87,60.0,,7.20533817611118,2.65,1.855249745158002,0.142
43.8,16.929999999999996,26.87,60.0,,5.872681011118015,2.65,1.7125382262996942,0.206
43.8,16.929999999999996,26.87,60.0,,6.384350873009287,2.65,1.7533129459734962,0.1882
49.07,20.03,29.04,70.0,,7.898522486532822,2.67,1.8583078491335367,0.155
49.07,20.03,29.04,70.0,,7.20533817611118,2.67,1.8144750254842,0.1694999999999999
49.07,20.03,29.04,70.0,,5.872681011118015,2.67,1.6554536187563709,0.2289999999999999
49.07,20.03,29.04,70.0,,6.384350873009287,2.67,1.6819571865443423,0.212
55.11,22.11,33.0,80.0,,7.898522486532822,2.7,1.7655453618756372,0.183
55.11,22.11,33.0,80.0,,7.20533817611118,2.7,1.6717635066258918,0.191
55.11,22.11,33.0,80.0,,5.872681011118015,2.7,1.549439347604485,0.252
55.11,22.11,33.0,80.0,,6.384350873009287,2.7,1.5779816513761469,0.245
61.1,24.9,36.2,90.0,,7.898522486532822,2.72,1.6462793068297654,0.2052
61.1,24.9,36.2,90.0,,7.20533817611118,2.72,1.5361875637104994,0.236
61.1,24.9,36.2,90.0,,5.872681011118015,2.72,1.475025484199796,0.281
61.1,24.9,36.2,90.0,,6.384350873009287,2.72,1.490316004077472,0.276
47.4,41.3,6.1,61.0,,7.898522486532822,2.35,1.7227319062181443,0.139
47.4,41.3,6.1,61.0,,6.384350873009287,2.35,1.5188583078491336,0.2019999999999999
31.7,22.2,9.5,4.3,,7.898522486532822,2.7,1.9062181447502544,0.088
36.0,23.4,12.6,2.0,,7.898522486532822,2.54,1.8348623853211008,0.111
36.0,23.4,12.6,2.0,,6.384350873009287,2.54,1.6513761467889907,0.131
26.5,15.1,11.4,29.0,,6.384350873009287,2.89,1.9062181447502544,0.104
68.0,30.0,38.0,100.0,,7.898522486532822,2.69,1.6649999999999998,0.2
68.0,30.0,38.0,100.0,,6.384350873009287,2.69,1.432,0.28
28.1,17.200000000000003,10.9,4.1,,7.898522486532822,2.62,1.885830784913353,0.079
